"Use Case ID","Use Case Name","Primary Actor","Preconditions","Postconditions","Trigger","Main Flow","Alternative Flow"
"UC-C01","Register as Customer","Customer","User has email and phone number","Customer account is created in Firestore","User selects ""Register as Customer""","1. User enters email, password, name, and phone
2. System validates input format
3. System creates Firebase Auth account
4. System creates Firestore user profile with role=customer
5. System logs user in automatically
6. System redirects to Customer Dashboard","3a. If email already exists, show error
3b. If password too weak, show error
4a. If network error, retry with backoff"
"UC-C02","Book Service Maintenance","Customer","Customer is logged in and has added at least one car","Booking created with status=pending, visible to all technicians","Customer clicks ""Book Service""","1. Customer selects car from their list
2. Customer selects maintenance type (regular/repair/inspection/emergency)
3. Customer browses service catalog and adds items
4. Customer selects date and time slot
5. System checks slot availability
6. Customer enters description/notes
7. Customer applies discount code (optional)
8. System validates offer code if provided
9. Customer confirms booking
10. System saves booking to Firestore
11. System sends notifications to all technicians
12. System shows confirmation to customer","5a. If slot unavailable, show alternative slots
8a. If offer code invalid/expired, show error
10a. If network error, retry"
"UC-C03","Track Maintenance Status","Customer","Customer has active bookings","Customer views current status","Customer opens ""My Bookings""","1. System queries bookings where userId=currentUser
2. System displays bookings with real-time status
3. Customer clicks on booking to see details
4. System shows: assigned technician, service items, current status, estimated completion","2a. If no bookings exist, show ""No bookings yet"""
"UC-C04","Rate Completed Service","Customer","Booking status=completed and isPaid=true and rating is null","Booking updated with rating and comment","Customer clicks ""Rate Service"" on completed booking","1. System shows rating dialog
2. Customer selects stars (1-5)
3. Customer enters comment (optional)
4. Customer submits rating
5. System updates booking with rating, ratingComment, ratedAt
6. System sends notification to assigned technician","2a. If already rated, show ""Already rated"""
"UC-C05","Download Invoice PDF","Customer","Booking isPaid=true","PDF invoice downloaded to device","Customer clicks ""Download Invoice""","1. System retrieves booking details
2. System generates PDF with: customer info, car details, service items, labor cost, discount, tax, total
3. System downloads PDF to device
4. System shows success message","2a. If PDF generation fails, show error"
"UC-C06","Chat with AI Assistant","Customer","Customer is logged in","Conversation saved to Firestore","Customer opens Chatbot","1. System loads previous conversation history
2. Customer types message
3. System sends message to Gemini AI
4. System receives AI response
5. System displays response to customer
6. System saves conversation to Firestore","3a. If API error, show ""Unable to connect"""
"UC-T01","View Available Jobs","Technician","Technician is logged in","List of pending bookings displayed","Technician opens dashboard","1. System queries bookings where status=pending
2. System displays job list with: customer name, car details, maintenance type, scheduled date
3. Technician views job details","1a. If no jobs available, show ""No jobs available"""
"UC-T02","Pick and Start Job","Technician","Job status=pending","Job status=inProgress, technician assigned","Technician clicks ""Start Job""","1. System updates booking: status=inProgress, assignedTechnicians=[techId], startedAt=now
2. System sends notification to customer
3. System redirects technician to job details page","1a. If job already taken by another technician, show error"
"UC-T03","Add Service Items and Parts","Technician","Technician is working on job (status=inProgress)","Service items added to booking, inventory updated","Technician clicks ""Add Items""","1. Technician searches for parts/services
2. Technician selects item and enters quantity
3. System checks inventory availability
4. Technician adds item to booking
5. System creates inventory_transaction (type=out)
6. System decrements inventory.currentStock
7. System checks if currentStock < threshold
8. If yes, create low_stock_alert and notify admin","3a. If insufficient stock, show error"
"UC-T04","Complete Job","Technician","Job status=inProgress","Job status=completedPendingPayment","Technician clicks ""Complete Job""","1. Technician enters completion notes
2. System updates booking: status=completedPendingPayment, completedAt=now
3. System calculates totalCost (parts + labor + tax - discount)
4. System sends notification to cashier
5. System sends notification to customer","None"
"UC-A01","Generate Invite Code","Admin","Admin is logged in","New invite code created in Firestore","Admin clicks ""Generate Code""","1. Admin selects role (technician/admin/cashier)
2. Admin enters max uses
3. System generates unique 8-character code
4. System creates invite_code document with: code, role, maxUses, usedCount=0, isActive=true, createdBy=adminId
5. System displays code to admin with copy button","4a. If code generation fails, retry"
"UC-A02","Manage Users","Admin","Admin is logged in","User account activated/deactivated","Admin opens ""Users Management""","1. System displays all users with: name, email, role, isActive status
2. Admin selects user
3. Admin toggles isActive status
4. System updates user document","None"
"UC-A03","Approve or Reject Refund","Admin","Refund status=requested","Refund status=approved or rejected","Admin opens ""Refund Requests""","1. System displays refund requests with status=requested
2. Admin views refund details: booking info, refund reason, amount
3. Admin reviews booking history
4. Admin clicks ""Approve"" or ""Reject""
5. System updates refund: status=approved/rejected, approvedBy=adminId, approvedAt=now
6. System sends notification to cashier
7. If rejected, system sends notification to customer","None"
"UC-A04","Create Promotional Offer","Admin","Admin is logged in","New offer created, customers notified","Admin clicks ""Create Offer""","1. Admin enters: title, description, discountPercentage, startDate, endDate
2. System generates unique offer code
3. Admin uploads offer image (optional)
4. System creates offer document with: code, type=discount, isActive=true, createdBy=adminId
5. System queries all users where role=customer
6. System sends notification to all customers
7. System displays success message","2a. If code generation fails, retry"
"UC-A05","View System Reports","Admin","Admin is logged in","Reports displayed","Admin opens ""Reports""","1. Admin selects report type (profit/performance/bookings)
2. Admin selects date range
3. System aggregates data from Firestore
4. System calculates: total revenue, completed bookings, active technicians, average rating
5. System displays charts and statistics","3a. If no data available, show ""No data"""
"UC-CS01","Process Payment","Cashier","Booking status=completedPendingPayment","Booking isPaid=true, status=completed, invoice created","Cashier opens ""Pending Payments""","1. System displays bookings with status=completedPendingPayment
2. Cashier selects booking
3. System displays cost breakdown: subtotal, discount, tax, total
4. Cashier selects payment method (cash/card/digital)
5. Cashier processes payment
6. System updates booking: isPaid=true, paidAt=now, cashierId, paymentMethod, status=completed
7. System creates invoice document
8. System sends invoice to customer
9. System sends ""payment successful"" notification to customer","5a. If payment fails, show error and retry"
"UC-CS02","Initiate Refund Request","Cashier","Booking isPaid=true","Refund created with status=requested","Customer requests refund at cashier","1. Cashier retrieves booking details
2. Cashier enters refund reason and amount
3. Cashier adds customer notes (optional)
4. System creates refund document: bookingId, refundAmount, reason, status=requested, requestedBy=cashierId, requestedAt=now
5. System sends notification to admin for approval","1a. If booking not paid, show error"
"UC-CS03","View Profit Reports","Cashier","Cashier is logged in","Profit data displayed","Cashier opens ""Reports""","1. Cashier selects date range
2. System queries bookings where isPaid=true within date range
3. System sums totalCost from all paid bookings
4. System displays total revenue and transaction count","2a. If no transactions, show ""No data"""
